Transcript,sequence.length,best.hit.to.nr,hit.length,E.value,Bit.score,GO.Biological.Process,GO.Cellular.Component,GO.Molecular.Function,Enzyme,Domain,annotation.type,pval,adj.r.squared,padj,Apicea.type,Acarolinensis.type
11327|*|comp146476_c0_seq1,1191,gi|322789993|gb|EFZ15069.1| hypothetical protein SINV_01798 ,35,9.46E-07,63.795869,GO:0007062 sister chromatid cohesion | GO:0030261 chromosome condensation | GO:0006310 DNA recombination | GO:0006281 DNA repair,GO:0005694 chromosome | GO:0005634 nucleus,GO:0005524 ATP binding,-,-,GO only,1.63E-09,0.927890152,3.81E-07,Bimodal,Bimodal
11346|*|comp144604_c0_seq2,1189,gi|307168452|gb|EFN61584.1| hypothetical protein EAG_05435 ,31,5.95E-09,70.974719,-,-,-,-,-,,1.56E-09,0.928269997,3.70E-07,Bimodal,Intermediate
11351|*|comp141380_c0_seq1,1189,-,-,-,-,-,-,-,-,-,,6.24E-06,0.793894653,0.000279693,Low,Low
11358|*|comp145300_c0_seq3,1188,-,-,-,-,-,-,-,-,-,,1.80E-06,0.824341416,0.000101679,Low,Low
11359|*|Contig5574,1188,gi|322789648|gb|EFZ14846.1| hypothetical protein SINV_15081 ,109,9.96E-20,105.971615,-,-,-,-,-,,1.71E-06,0.825533417,9.72612E-05,Low,Low
11369|*|comp143877_c0_seq1,1187,-,-,-,-,-,-,-,-,-,,1.48E-07,0.872282995,1.42444E-05,Low,Low
11398|*|comp149161_c0_seq10,1185,gi|317408134|gb|ADV17599.1| transposase ,77,1.13E-12,83.089029,-,-,-,-,-,,8.88E-06,0.784312179,0.00037131,Low,Low
11403|*|comp149390_c0_seq12,1184,gi|322801466|gb|EFZ22127.1| hypothetical protein SINV_08449 ,138,1.02E-58,227.563396,-,GO:0005634 nucleus,GO:0046872 metal ion binding | GO:0003676 nucleic acid binding,-,pfam00651 BTB,GO & Domain,3.68E-08,0.893013708,4.72E-06,High,Low
11412|*|Contig307,1183,gi|322786349|gb|EFZ12892.1| hypothetical protein SINV_07791 ,292,5.63E-110,388.638855,"GO:0006355 regulation of transcription, DNA-dependent",GO:0005667 transcription factor complex,GO:0003677 DNA binding | GO:0003712 transcription cofactor activity,-,pfam10545 MADF_DNA_bdg | pfam13837 Myb_DNA-bind_4 | pfam09687 PRESAN,GO & Domain,1.75E-12,0.96949065,1.32E-09,High,Low
11431|*|comp138879_c1_seq1,1181,gi|332027809|gb|EGI67874.1| E3 ubiquitin-protein ligase ,321,1.67E-208,715.725232,-,-,GO:0008270 zinc ion binding | GO:0016874 ligase activity | GO:0003676 nucleic acid binding,-,pfam13923 zf-C3HC4_2 | pfam01485 IBR,GO & Domain,1.86E-06,0.823555748,0.000104378,Low,Intermediate
11434|*|Contig6315,1180,gi|332024862|gb|EGI65050.1| Putative amino acid permease F13H10.3 ,154,2.36E-75,277.366672,-,GO:0016021 integral to membrane,-,-,-,GO only,1.70E-08,0.902988078,2.46E-06,Intermediate,Intermediate
11448|*|comp145575_c0_seq1,1178,gi|332029136|gb|EGI69147.1| Uroporphyrinogen-III synthase ,263,1.42E-139,486.899371,GO:0006780 uroporphyrinogen III biosynthetic process | GO:0006783 heme biosynthetic process | GO:0015994 chlorophyll metabolic process,GO:0005739 mitochondrion,GO:0004852 uroporphyrinogen-III synthase activity,-,pfam02602 HEM4,GO & Domain,1.32E-06,0.831132581,7.91778E-05,Intermediate,Low
11461|*|comp143313_c0_seq1,1177,-,-,-,-,-,-,-,-,-,,1.63E-06,0.826511617,9.39567E-05,Low,Intermediate
11476|*|comp126002_c0_seq1,1176,gi|307184556|gb|EFN70917.1| hypothetical protein EAG_03290 ,151,1.63E-100,357.231384,-,-,-,-,-,,2.48E-09,0.923937647,5.32E-07,Low,Intermediate
11493|*|comp150656_c0_seq20,1175,-,-,-,-,-,-,-,-,-,,2.40E-11,0.957591985,1.11E-08,Low,NotResp
11536|*|Contig422,1171,gi|322781797|gb|EFZ10281.1| hypothetical protein SINV_05040 ,53,1.51E-08,69.628685,-,-,-,-,pfam10545 MADF_DNA_bdg | pfam13873 Myb_DNA-bind_5 | pfam13837 Myb_DNA-bind_4,Domain only,3.35E-07,0.858350951,2.70218E-05,Low,Low
11600|*|comp149388_c1_seq2,1166,gi|307181089|gb|EFN68834.1| hypothetical protein EAG_07455 ,40,0.000973,53.924949,-,-,-,-,-,,5.51E-10,0.937106488,1.59E-07,High,Low
11618|*|comp135131_c0_seq1,1164,-,-,-,-,-,-,-,-,-,,3.86E-06,0.8062851,0.000188779,Low,Low
11622|*|comp142381_c0_seq1,1164,-,-,-,-,-,-,-,-,-,,4.34E-09,0.918396622,8.45E-07,Bimodal,Bimodal
11626|*|Contig4187,1163,-,-,-,-,-,-,-,-,-,,1.83E-06,0.823916608,0.000103137,Low,Low
11628|*|comp144521_c0_seq2,1163,gi|332022765|gb|EGI63039.1| Peroxisomal biogenesis factor 19 ,282,2.04E-162,562.72598,-,GO:0005829 cytosol | GO:0005777 peroxisome,-,-,pfam04614 Pex19 | pfam01529 zf-DHHC,GO & Domain,5.98E-07,0.847463809,4.24925E-05,Low,Low
11631|*|comp144490_c0_seq1,1162,gi|332024004|gb|EGI64222.1| Protein piwi ,320,2.43E-201,691.945289,"GO:0030717 karyosome formation | GO:0046594 maintenance of pole plasm mRNA location | GO:0046843 dorsal appendage formation | GO:0010529 negative regulation of transposition | GO:0006342 chromatin silencing | GO:0007317 regulation of pole plasm oskar mRNA localization | GO:0046012 positive regulation of oskar mRNA translation | GO:0006446 regulation of translational initiation | GO:0045089 positive regulation of innate immune response | GO:0007318 pole plasm protein localization | GO:0007282 cystoblast division | GO:0060213 positive regulation of nuclear-transcribed mRNA poly(A) tail shortening | GO:0030423 targeting of mRNA for destruction involved in RNA interference | GO:0000398 nuclear mRNA splicing, via spliceosome | GO:0050829 defense response to Gram-negative bacterium | GO:0017145 stem cell division | GO:0001556 oocyte maturation | GO:0007076 mitotic chromosome condensation | GO:0007279 pole cell formation",GO:0043186 P granule | GO:0071011 precatalytic spliceosome | GO:0071013 catalytic step 2 spliceosome | GO:0005875 microtubule associated complex,GO:0034584 piRNA binding,-,pfam02171 Piwi,GO & Domain,4.42E-07,0.853220238,3.34794E-05,Intermediate,Intermediate
11673|*|comp143894_c0_seq1,1158,-,-,-,-,-,-,-,-,-,,9.41E-08,0.879467719,9.97E-06,Low,Low
11709|*|comp150257_c1_seq3,1154,-,-,-,-,-,-,-,-,-,,9.88E-06,0.781303749,0.000404201,Low,Intermediate
11713|*|comp144655_c0_seq6,1154,gi|322790582|gb|EFZ15394.1| hypothetical protein SINV_05588 ,232,7.32E-27,128.854201,-,-,-,-,-,,6.66E-08,0.884661025,7.67E-06,Low,High
11749|*|comp149293_c4_seq1,1151,gi|322799476|gb|EFZ20784.1| hypothetical protein SINV_01279 ,111,6.36E-60,231.152821,GO:0009792 embryo development ending in birth or egg hatching | GO:0040007 growth | GO:0010171 body morphogenesis | GO:0040035 hermaphrodite genitalia development | GO:0002119 nematode larval development,-,-,-,pfam10206 WRW,GO & Domain,1.79E-07,0.869218982,1.6572E-05,Intermediate,Intermediate
11790|*|Contig4302,1148,gi|328707974|ref|XP_003243555.1| PREDICTED: hypothetical protein LOC100571079 ,97,5.55E-05,57.963053,-,-,-,-,-,,1.58E-11,0.959760363,8.05E-09,Intermediate,Intermediate
1179|*|comp149754_c1_seq1,4015,gi|332018682|gb|EGI59254.1| G-protein-signaling modulator 2 ,305,5.82E-198,680.728335,GO:0008277 regulation of G-protein coupled receptor protein signaling pathway | GO:0000132 establishment of mitotic spindle orientation | GO:0050790 regulation of catalytic activity,-,GO:0005092 GDP-dissociation inhibitor activity,-,pfam02188 GoLoco,GO & Domain,1.18E-06,0.83360623,7.24618E-05,Low,Low
11834|*|comp145737_c0_seq1,1144,-,-,-,-,-,-,-,-,pfam10545 MADF_DNA_bdg,Domain only,3.56E-13,0.975008867,3.47E-10,High,Low
11837|*|Contig4279,1144,-,-,-,-,-,-,-,-,-,,9.40E-07,0.838372184,6.07508E-05,Low,Low
1185|*|comp145938_c0_seq2,4010,gi|322790304|gb|EFZ15303.1| hypothetical protein SINV_80115 ,664,0,1394.575284,GO:0006184 GTP catabolic process | GO:0006448 regulation of translational elongation,GO:0005840 ribosome,GO:0003746 translation elongation factor activity | GO:0003924 GTPase activity | GO:0005525 GTP binding,-,pfam00679 EFG_C | pfam03764 EFG_IV | pfam03144 GTP_EFTU_D2,GO & Domain,4.91E-09,0.917101299,9.31E-07,Low,Low
11877|*|comp147225_c0_seq8,1141,gi|332024409|gb|EGI64607.1| Eukaryotic translation initiation factor 2-alpha kinase 4 ,145,3.36E-66,249.997304,GO:0006468 protein phosphorylation | GO:0006446 regulation of translational initiation | GO:0009069 serine family amino acid metabolic process,GO:0005840 ribosome,GO:0003743 translation initiation factor activity | GO:0004674 protein serine/threonine kinase activity | GO:0005524 ATP binding | GO:0042803 protein homodimerization activity,-,-,GO only,1.01E-07,0.878325991,1.05591E-05,Bimodal,Low
11888|*|Contig3484,1140,gi|77186|pir||JN0400 hypothetical 8.8K protein - influenza A virus (strain A/ Kiev/59/79 ,83,4.23E-39,167.440523,-,-,-,-,pfam00506 Flu_NP,Domain only,8.82E-07,0.839690381,5.77066E-05,High,Low
11889|*|comp146516_c0_seq1,1140,gi|332025790|gb|EGI65947.1| FACT complex subunit spt16 ,283,2.44E-186,642.142014,"GO:0006997 nucleus organization | GO:0000910 cytokinesis | GO:0018996 molting cycle, collagen and cuticulin-based cuticle | GO:0009792 embryo development ending in birth or egg hatching | GO:0008340 determination of adult lifespan | GO:0001703 gastrulation with mouth forming first",-,-,-,pfam08512 Rtt106,GO & Domain,9.50E-07,0.838149857,6.11651E-05,High,High
11890|*|comp145599_c0_seq1,1140,gi|322782712|gb|EFZ10555.1| hypothetical protein SINV_03922 ,37,9.01E-07,63.795869,-,-,GO:0003676 nucleic acid binding | GO:0046983 protein dimerization activity,-,-,GO only,1.04E-09,0.931826919,2.68E-07,Low,High
11928|*|comp148864_c3_seq15,1136,-,-,-,-,-,-,-,-,-,,2.59E-09,0.923523311,5.51E-07,High,Low
11943|*|comp133830_c0_seq1,1135,-,-,-,-,-,-,-,-,-,,7.87E-08,0.882185392,8.70E-06,Low,Low
11975|*|comp150442_c2_seq7,1131,gi|307170336|gb|EFN62672.1| hypothetical protein EAG_05284 ,102,6.06E-35,154.428856,-,-,-,-,pfam10545 MADF_DNA_bdg,Domain only,2.11E-13,0.976591613,2.35E-10,Low,NotResp
11991|*|Contig2415,1130,-,-,-,-,-,-,-,-,-,,1.25E-08,0.906735417,1.96E-06,Intermediate,Intermediate
12010|*|Contig3732,1129,-,-,-,-,-,-,-,-,-,,1.05E-06,0.835976912,6.6529E-05,Low,High
12012|*|comp150519_c1_seq10,1128,-,-,-,-,-,-,-,-,-,,3.64E-06,0.807714262,0.000180653,Low,Low
12047|*|comp144548_c0_seq1,1126,-,-,-,-,-,-,-,-,-,,1.37E-06,0.830425898,8.14041E-05,Low,Low
12073|*|Contig1170,1124,gi|307215540|gb|EFN90176.1| hypothetical protein EAI_00119 ,80,3.00E-31,142.763224,-,-,-,-,-,,6.40E-06,0.793226428,0.000285499,High,High
12076|*|comp144932_c0_seq2,1124,gi|307169864|gb|EFN62373.1| Nucleoplasmin-like protein ,162,1.74E-93,333.90012,GO:0030001 metal ion transport | GO:0055085 transmembrane transport,GO:0016020 membrane,GO:0003676 nucleic acid binding | GO:0046873 metal ion transmembrane transporter activity,-,pfam03066 Nucleoplasmin,GO & Domain,1.13495E-05,0.777348525,0.000447522,Intermediate,Intermediate
12129|*|comp139290_c0_seq2,1120,gi|322802268|gb|EFZ22664.1| hypothetical protein SINV_04663 ,321,1.49E-172,596.376842,GO:0055114 oxidation-reduction process,-,GO:0004022 alcohol dehydrogenase (NAD) activity | GO:0016404 15-hydroxyprostaglandin dehydrogenase (NAD+) activity,-,pfam00106 adh_short | pfam13561 adh_short_C2 | pfam08659 KR | pfam01370 Epimerase,GO & Domain,8.40E-06,0.785851293,0.000354604,Low,Low
12147|*|comp150033_c0_seq11,1118,gi|307201100|gb|EFN81028.1| hypothetical protein EAI_05499 ,106,5.32E-49,197.950638,-,-,-,-,pfam13873 Myb_DNA-bind_5,Domain only,5.61E-09,0.915696353,1.05E-06,Low,Low
12158|*|Contig4247,1117,-,-,-,-,-,-,-,-,-,,1.78E-06,0.824612091,0.000100696,Low,Low
12166|*|comp149810_c0_seq2,1117,gi|307189598|gb|EFN73959.1| Receptor-type tyrosine-protein phosphatase kappa ,337,1.39E-204,702.713565,GO:0035335 peptidyl-tyrosine dephosphorylation | GO:0006570 tyrosine metabolic process,-,GO:0004725 protein tyrosine phosphatase activity,-,pfam00102 Y_phosphatase,GO & Domain,9.51E-07,0.83813512,6.11684E-05,Low,Bimodal
12187|*|Contig2189,1115,gi|307201142|gb|EFN81053.1| cAMP response element-binding protein ,34,2.70E-08,68.731328,"GO:0006355 regulation of transcription, DNA-dependent",GO:0005634 nucleus | GO:0005667 transcription factor complex,GO:0003700 sequence-specific DNA binding transcription factor activity | GO:0043565 sequence-specific DNA binding,-,-,GO only,1.63E-08,0.903527839,2.38E-06,Low,Low
12205|*|comp144485_c0_seq1,1113,-,-,-,-,-,-,-,-,-,,4.73E-06,0.801100052,0.000223208,Low,Low
12226|*|comp147534_c0_seq1,1111,gi|328776805|ref|XP_003249221.1| PREDICTED: hypothetical protein LOC100576812 ,258,4.74E-77,282.302131,-,-,GO:0003676 nucleic acid binding,-,-,GO only,2.93E-07,0.860712101,2.4241E-05,Bimodal,Bimodal
12259|*|comp148056_c2_seq1,1109,gi|307200712|gb|EFN80809.1| Nuclear pore complex protein Nup205 ,281,1.70E-163,566.315405,-,GO:0005643 nuclear pore,-,-,-,GO only,6.03E-06,0.794811441,0.000271676,Low,Low
12302|*|comp141496_c0_seq1,1106,-,-,-,-,-,-,-,-,-,,3.04E-07,0.860046477,2.4936E-05,Bimodal,Bimodal
12334|*|comp149897_c0_seq7,1104,gi|332023149|gb|EGI63405.1| Fatty acyl-CoA reductase 1 ,240,5.26E-127,445.172303,GO:0046474 glycerophospholipid biosynthetic process | GO:0035336 long-chain fatty-acyl-CoA metabolic process | GO:0010025 wax biosynthetic process | GO:0008611 ether lipid biosynthetic process | GO:0055114 oxidation-reduction process,GO:0005778 peroxisomal membrane | GO:0016021 integral to membrane,GO:0050062 long-chain-fatty-acyl-CoA reductase activity | GO:0080019 fatty-acyl-CoA reductase (alcohol-forming) activity,-,pfam07993 NAD_binding_4 | pfam01370 Epimerase,GO & Domain,3.98E-06,0.805480056,0.000193803,Low,Intermediate
12343|*|comp137505_c0_seq1,1103,gi|322795766|gb|EFZ18445.1| hypothetical protein SINV_10178 ,201,5.04E-71,264.355005,GO:0055114 oxidation-reduction process,-,GO:0016491 oxidoreductase activity | GO:0010181 FMN binding,-,pfam13883 Pyrid_oxidase_2,GO & Domain,1.09E-07,0.877252724,1.1155E-05,Intermediate,Intermediate
12345|*|comp150668_c0_seq3,1103,-,-,-,-,-,-,-,-,-,,3.47E-08,0.893818681,4.52E-06,Low,Low
12346|*|comp145109_c0_seq1,1103,gi|322793341|gb|EFZ16952.1| hypothetical protein SINV_12272 ,100,5.14E-54,213.205695,-,-,-,-,-,,8.98E-08,0.880181154,9.59E-06,Bimodal,Intermediate
12347|*|comp150659_c3_seq1,1103,-,-,-,-,-,-,-,-,-,,2.12E-06,0.82057419,0.00011609,High,Low
12355|*|comp150045_c0_seq8,1102,gi|307184007|gb|EFN70565.1| Histone H3 ,118,1.52E-38,165.64581,GO:0006334 nucleosome assembly,GO:0000786 nucleosome,GO:0003677 DNA binding | GO:0046982 protein heterodimerization activity,-,pfam10545 MADF_DNA_bdg,GO & Domain,4.05E-11,0.954720643,1.76E-08,Low,Low
1237|*|Contig4887,3944,gi|307206290|gb|EFN84355.1| Voltage-dependent calcium channel type D subunit alpha-1 ,971,0,2018.237924,GO:0034765 regulation of ion transmembrane transport | GO:0070588 calcium ion transmembrane transport,GO:0005891 voltage-gated calcium channel complex,GO:0005245 voltage-gated calcium channel activity,-,pfam00520 Ion_trans,GO & Domain,6.55E-06,0.792622967,0.000290537,High,Low
12392|*|comp148952_c3_seq3,1099,-,-,-,-,-,-,-,-,-,,1.79E-07,0.869195313,1.65799E-05,Low,Low
12397|*|comp141068_c0_seq1,1098,gi|332030447|gb|EGI70135.1| Protein transport protein Sec31A ,202,2.50E-121,426.32782,-,-,-,-,-,,6.64E-08,0.884689041,7.66E-06,Low,Intermediate
12468|*|comp148672_c2_seq6,1093,-,-,-,-,-,-,-,-,-,,9.66E-06,0.781931658,0.000397729,NotResp,Low
12472|*|comp149819_c2_seq17,1093,gi|270014460|gb|EFA10908.1| hypothetical protein TcasGA2_TC001734 ,183,1.26E-65,248.202591,GO:0006278 RNA-dependent DNA replication | GO:0006810 transport | GO:0015074 DNA integration | GO:0006310 DNA recombination,GO:0005634 nucleus,GO:0003964 RNA-directed DNA polymerase activity | GO:0003677 DNA binding | GO:0003723 RNA binding | GO:0008270 zinc ion binding | GO:0005215 transporter activity,-,pfam00589 Phage_integrase | pfam09687 PRESAN,GO & Domain,7.03E-07,0.844248843,4.86503E-05,Low,Bimodal
12525|*|comp149311_c0_seq1,1088,-,-,-,-,-,-,-,-,-,,2.63E-10,0.942694642,8.43E-08,High,Bimodal
12543|*|Contig4281,1087,-,-,-,-,-,-,-,-,-,,4.23E-07,0.854035111,3.24767E-05,Low,Low
12561|*|comp149696_c1_seq4,1086,gi|322783855|gb|EFZ11071.1| hypothetical protein SINV_02023 ,150,4.42E-93,332.554085,-,-,-,-,-,,4.08E-09,0.919029878,8.01E-07,Low,Low
12634|*|comp142773_c0_seq1,1081,gi|332025514|gb|EGI65677.1| FACT complex subunit Ssrp1 ,264,7.14E-147,511.127992,-,GO:0005634 nucleus,GO:0003677 DNA binding,-,pfam00505 HMG_box,GO & Domain,2.03E-06,0.82164764,0.00011147,Low,Intermediate
12665|*|comp143381_c0_seq1,1078,"gi|332027474|gb|EGI67557.1| 39S ribosomal protein L21, mitochondrial ",215,5.60E-130,455.043222,GO:0006412 translation | GO:0042254 ribosome biogenesis,GO:0005840 ribosome,GO:0003735 structural constituent of ribosome | GO:0003723 RNA binding,-,pfam00829 Ribosomal_L21p,GO & Domain,1.54E-07,0.871712576,1.46191E-05,High,Low
12699|*|comp143019_c0_seq1,1076,-,-,-,-,-,-,-,-,-,,8.26E-06,0.786308262,0.000349538,High,Bimodal
12701|*|comp148033_c1_seq1,1076,-,-,-,-,-,-,-,-,-,,1.84E-06,0.823890721,0.000103196,Bimodal,Bimodal
12720|*|comp139285_c0_seq3,1074,gi|322791710|gb|EFZ15986.1| hypothetical protein SINV_04349 ,291,3.02E-115,406.137303,-,-,-,-,-,,1.49E-08,0.904604537,2.23E-06,NotResp,Intermediate
12730|*|comp148585_c1_seq3,1073,gi|332019449|gb|EGI59932.1| hypothetical protein G5I_11888 ,131,2.99E-56,219.935867,-,-,-,-,-,,4.07E-08,0.891632322,5.14E-06,Intermediate,Intermediate
12732|*|comp144472_c0_seq1,1073,-,-,-,-,-,-,-,-,-,,1.23E-09,0.930379274,3.11E-07,Low,Low
12739|*|comp150442_c2_seq5,1073,gi|307170336|gb|EFN62672.1| hypothetical protein EAG_05284 ,102,5.65E-35,154.428856,-,-,-,-,pfam10545 MADF_DNA_bdg,Domain only,2.45E-11,0.957491056,1.12E-08,Intermediate,Intermediate
12768|*|comp150673_c2_seq1,1070,gi|328776270|ref|XP_623380.2| PREDICTED: coatomer subunit zeta-1 isoform 1 ,178,1.12E-112,397.612418,GO:0016192 vesicle-mediated transport | GO:0006886 intracellular protein transport,GO:0030117 membrane coat,-,-,pfam01217 Clat_adaptor_s,GO & Domain,8.29E-06,0.786205191,0.000350694,Low,Low
12770|*|comp145894_c0_seq1,1070,-,-,-,-,-,-,-,-,-,,7.37E-08,0.883152323,8.29E-06,Bimodal,Bimodal
12784|*|comp149327_c1_seq1,1068,-,-,-,-,-,-,-,-,-,,5.68E-06,0.796360944,0.000259981,Bimodal,Intermediate
127|*|comp149639_c5_seq1,6696,gi|322785865|gb|EFZ12484.1| hypothetical protein SINV_10833 ,991,0,1718.072236,GO:0006357 regulation of transcription from RNA polymerase II promoter,GO:0016592 mediator complex,GO:0001104 RNA polymerase II transcription cofactor activity,-,pfam06179 Med22,GO & Domain,4.82E-08,0.889301464,5.94E-06,Low,Low
12804|*|comp145679_c0_seq1,1066,-,-,-,-,-,-,-,-,-,,2.73E-09,0.923027282,5.75E-07,Low,Intermediate
12832|*|comp93420_c0_seq1,1065,gi|332017459|gb|EGI58182.1| Ankyrin repeat domain-containing protein 13C ,226,5.28E-117,411.970119,"GO:0016560 protein import into peroxisome matrix, docking",GO:0005777 peroxisome | GO:0016021 integral to membrane,GO:0003676 nucleic acid binding | GO:0000166 nucleotide binding,-,-,GO only,1.25E-06,0.832432098,7.57261E-05,Low,Low
12834|*|comp149287_c4_seq1,1065,-,-,-,-,-,-,-,-,-,,6.51E-06,0.792751184,0.000289443,Low,Intermediate
12864|*|comp92018_c0_seq1,1062,gi|322792059|gb|EFZ16152.1| hypothetical protein SINV_12080 ,186,4.64E-74,273.328568,-,-,-,-,pfam13837 Myb_DNA-bind_4 | pfam10545 MADF_DNA_bdg | pfam12776 Myb_DNA-bind_3 | pfam13873 Myb_DNA-bind_5,Domain only,9.81E-06,0.781506075,0.000402155,Intermediate,NotResp
12902|*|comp147657_c0_seq1,1060,-,-,-,-,-,-,-,-,-,,9.76E-07,0.837584048,6.24461E-05,High,Intermediate
12934|*|comp146714_c1_seq1,1057,gi|322803081|gb|EFZ23169.1| hypothetical protein SINV_05718 ,29,1.24E-07,66.487938,-,-,-,-,-,,2.21E-10,0.94393946,7.30E-08,High,Low
1293|*|comp137632_c0_seq1,3894,gi|332029810|gb|EGI69679.1| Sorting nexin-6 ,407,6.03E-276,939.615632,GO:0007154 cell communication | GO:0006907 pinocytosis,GO:0031234 extrinsic to internal side of plasma membrane | GO:0070685 macropinocytic cup | GO:0031313 extrinsic to endosome membrane | GO:0031901 early endosome membrane,GO:0035091 phosphatidylinositol binding,-,pfam00787 PX | pfam09325 Vps5 | pfam03114 BAR,GO & Domain,2.44E-08,0.898464027,3.34E-06,Low,Intermediate
12967|*|Contig4127,1054,gi|332027463|gb|EGI67546.1| Alpha-tocopherol transfer protein ,179,1.43E-75,277.81535,GO:0006810 transport,GO:0005622 intracellular,GO:0005215 transporter activity,-,pfam00650 CRAL_TRIO,GO & Domain,4.62E-07,0.852403615,3.45135E-05,Low,NotResp
12973|*|comp147583_c0_seq2,1054,-,-,-,-,-,-,-,-,-,,7.32E-06,0.789609949,0.000317201,High,Low
12978|*|comp150409_c0_seq1,1053,-,-,-,-,-,-,-,-,-,,3.32E-06,0.810011549,0.000167412,Low,Low
13005|*|comp126629_c0_seq1,1052,gi|270004570|gb|EFA01018.1| hypothetical protein TcasGA2_TC003932 ,323,1.60E-55,217.692477,-,-,GO:0003676 nucleic acid binding,-,-,GO only,2.76E-07,0.861769361,2.31098E-05,Low,NotResp
13008|*|comp128138_c0_seq1,1052,-,-,-,-,-,-,-,-,-,,2.28E-12,0.968446588,1.60E-09,Intermediate,Intermediate
13036|*|Contig5636,1050,-,-,-,-,-,-,-,-,-,,1.08754E-05,0.778573302,0.000434242,Low,Low
13043|*|comp145983_c0_seq8,1049,gi|322799409|gb|EFZ20757.1| hypothetical protein SINV_11472 ,35,2.34E-11,78.602248,GO:0007165 signal transduction,-,-,-,-,GO only,8.81E-06,0.784532565,0.000368887,High,High
13049|*|comp123681_c0_seq1,1049,gi|332018785|gb|EGI59347.1| hypothetical protein G5I_12502 ,108,1.42E-60,232.947534,-,-,-,-,-,,1.35E-07,0.873803408,1.32332E-05,Low,Low
13060|*|Contig4920,1047,-,-,-,-,-,-,-,-,-,,2.16E-06,0.820142661,0.000117731,Low,Intermediate
13063|*|Contig175,1047,gi|307168767|gb|EFN61751.1| hypothetical protein EAG_05118 ,110,4.68E-27,129.30288,GO:0006278 RNA-dependent DNA replication,-,GO:0003964 RNA-directed DNA polymerase activity | GO:0003723 RNA binding,-,pfam01541 GIY-YIG,GO & Domain,2.31E-08,0.899127082,3.20E-06,Low,NotResp
1307|*|Contig4837,3880,gi|383854084|ref|XP_003702552.1| PREDICTED: uncharacterized protein LOC100882398 ,522,4.18E-253,863.789024,GO:0035556 intracellular signal transduction,-,GO:0046872 metal ion binding,-,pfam00130 C1_1 | pfam06008 Laminin_I,GO & Domain,5.50E-06,0.7972202,0.000253717,Low,Bimodal
13086|*|Contig2596,1045,-,-,-,-,-,-,-,-,-,,8.14E-06,0.786707412,0.000346005,Low,Low
13110|*|comp146367_c1_seq5,1043,gi|332018639|gb|EGI59213.1| Circadian clock-controlled protein ,191,6.43E-86,308.774143,-,-,-,-,pfam06585 JHBP,Domain only,3.80E-16,0.989395581,1.17E-12,Bimodal,Intermediate
13117|*|comp138543_c0_seq1,1043,gi|332028200|gb|EGI68251.1| Diamine acetyltransferase 2 ,163,4.40E-103,365.756269,GO:0006525 arginine metabolic process | GO:0006560 proline metabolic process | GO:0042967 acyl-carrier-protein biosynthetic process,-,GO:0004145 diamine N-acetyltransferase activity,-,pfam00583 Acetyltransf_1 | pfam13508 Acetyltransf_7 | pfam13420 Acetyltransf_4 | pfam08445 FR47 | pfam13673 Acetyltransf_10,GO & Domain,7.02E-07,0.844292811,4.86115E-05,High,Intermediate
